Services,Price INR (Starting From),Price USD (Starting From),Notes/Unit
"Static Website (5 Pages)",₹15000,$200,"Standard informational site, responsive design"
"Dynamic Website (Base Package - 5 Pages)",₹40000,$500,"CMS based (WordPress/Webflow), admin panel"
"Dynamic Website - Additional Page Cost",₹2500,$35,"Per additional page"
"E-commerce Website (Standard)",₹80000,$1000,"Up to 50 products, payment gateway integration"
"E-commerce Website (Advanced)",₹150000,$1900,"Custom features, advanced filtering, 50+ products"
"SEO (Basic - Local)",₹15000,$200,"Per Month - GMB optimization, basic keywords"
"SEO (Advanced - National/Global)",₹45000,$550,"Per Month - Content strategy, backlinking, technical SEO"
"Social Media Management (IG + FB)",₹25000,$300,"Per Month - 12 posts, community management, basic reporting"
"Meta Ads Campaign Management",₹15000,$200,"Per Month/Campaign (excludes ad budget) - Setup & Optimization"
"Logo Design (Basic)",₹8000,$100,"3 concepts, basic formats"
"Logo Design (Premium)",₹25000,$300,"5 concepts, brand guidelines, all vector formats"
"Full Branding Kit",₹45000,$550,"Logo, Typography, Color Palette, Brand Voice, Do's/Don'ts"
"Brand Strategy Workshop",₹30000,$400,"Market positioning, persona development, roadmap"
"Graphic Design - Business Card",₹2000,$25,"Double-sided design"
"Graphic Design - Letterhead",₹1500,$20,"Print-ready format"
"Graphic Design - Brochure/Flyer",₹4000,$50,"Per page/fold"
"Graphic Design - Billboard/Hoarding",₹8000,$100,"Large format print design"
"Graphic Design - Social Media Creative",₹1000,$15,"Per single creative asset"
"Package Design - Label Only",₹8000,$100,"Per SKU - 2D label design"
"Package Design - Box/Structure",₹20000,$250,"Per SKU - Die-line creation, 3D mockup rendering"
"Mobile App Development (Hybrid/Cross-platform)",₹150000,$1900,"Flutter/React Native - Basic MVP"
"Mobile App Development (Native - iOS & Android)",₹400000,$5000,"Custom native development, complex features"Services,Price INR (Starting From),Price USD (Starting From),Notes/Unit
"Static Website (5 Pages)",₹15000,$200,"Standard informational site, responsive design"
"Dynamic Website (Base Package - 5 Pages)",₹40000,$500,"CMS based (WordPress/Webflow), admin panel"
"Dynamic Website - Additional Page Cost",₹2500,$35,"Per additional page"
"E-commerce Website (Standard)",₹80000,$1000,"Up to 50 products, payment gateway integration"
"E-commerce Website (Advanced)",₹150000,$1900,"Custom features, advanced filtering, 50+ products"
"SEO (Basic - Local)",₹15000,$200,"Per Month - GMB optimization, basic keywords"
"SEO (Advanced - National/Global)",₹45000,$550,"Per Month - Content strategy, backlinking, technical SEO"
"Social Media Management (IG + FB)",₹25000,$300,"Per Month - 12 posts, community management, basic reporting"
"Meta Ads Campaign Management",₹15000,$200,"Per Month/Campaign (excludes ad budget) - Setup & Optimization"
"Logo Design (Basic)",₹8000,$100,"3 concepts, basic formats"
"Logo Design (Premium)",₹25000,$300,"5 concepts, brand guidelines, all vector formats"
"Full Branding Kit",₹45000,$550,"Logo, Typography, Color Palette, Brand Voice, Do's/Don'ts"
"Brand Strategy Workshop",₹30000,$400,"Market positioning, persona development, roadmap"
"Graphic Design - Business Card",₹2000,$25,"Double-sided design"
"Graphic Design - Letterhead",₹1500,$20,"Print-ready format"
"Graphic Design - Brochure/Flyer",₹4000,$50,"Per page/fold"
"Graphic Design - Billboard/Hoarding",₹8000,$100,"Large format print design"
"Graphic Design - Social Media Creative",₹1000,$15,"Per single creative asset"
"Package Design - Label Only",₹8000,$100,"Per SKU - 2D label design"
"Package Design - Box/Structure",₹20000,$250,"Per SKU - Die-line creation, 3D mockup rendering"
"Mobile App Development (Hybrid/Cross-platform)",₹150000,$1900,"Flutter/React Native - Basic MVP"
"Mobile App Development (Native - iOS & Android)",₹400000,$5000,"Custom native development, complex features"
